source_row,sheet_bonus_outcome,sheet_mechanical_result,sheet_entry,sheet_species_name,buddy_bonus_name,effect_id,target_type,target_value,matched_slug,matched_name,species_file,match_method,match_score,needs_review
7,New Species Capture Chance,X% capture chance if you don't own that species,Bunny Dealer (Gambler),Bunny Dealer,Gambler,capture_chance,ownership,unowned,bunny_dealer,Bunny Dealer,content/species/starter.json,exact_name,1.0,False
8,Duplicate Capture Chance,X% capture chance if you already own that species,Neko Tattoo Artist (Returning Customer),Neko Tattoo Artist,Returning Customer,capture_chance,ownership,owned,neko_tatto_artist,Neko Tattoo Artist,content/species/starter.json,exact_name,1.0,False
8,Duplicate Capture Chance,X% capture chance if you already own that species,Your Favorite Girl (Already Yours),Your Favorite Girl,Already Yours,capture_chance,ownership,owned,your_fav_girl,Your Favorite Girl,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Heaven's Spear Marshall (Divine Mandate (vs Demon)),Heaven's Spear Marshall,Divine Mandate,encounter_weight,race,demon,heaven_spear_marshal,Heaven's Spear Marshal,content/species/starter.json,fuzzy,0.978,False
10,Race Encounter Chance,X% chance to encounter (RACE),Crown of Humanity (Magnetism (vs Human)),Crown of Humanity,Magnetism,encounter_weight,race,human,crown_humanity,The Crown of Humanity,content/species/starter.json,fuzzy,0.903,False
10,Race Encounter Chance,X% chance to encounter (RACE),Demon Librarian (Demonic Rolodex),Demon Librarian,Demonic Rolodex,encounter_weight,race,,demon_librarian,Demon Librarian,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Feral Wood Spirit (Wildpath (vs Spirits)),Feral Wood Spirit,Wildpath,encounter_weight,race,spirit,feral_wood_spirit,Feral Wood Spirit,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Rainy Day Idol (Soft Spotlight (vs Human)),Rainy Day Idol,Soft Spotlight,encounter_weight,race,human,rainy_day_idol,Rainy Day Idol,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Cyber Neko (Street Pounce (vs Demi)),Cyber Neko,Street Pounce,encounter_weight,race,demi-human,cyber_neko,Cyber Neko,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Moonlit Dancer (Night Floor (vs Angel))),Moonlit Dancer,Night Floor),encounter_weight,race,angel,moonlit_dancer,Moonlit Dancer,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Neon Kitsune Apprentice (First Trick vs Spirit)),Neon Kitsune Apprentice,First Trick vs Spirit),encounter_weight,race,spirit,neon_kitsune_apprentice,Neon Kitsune Apprentice,content/species/starter.json,exact_name,1.0,False
10,Race Encounter Chance,X% chance to encounter (RACE),Thot Chat 2.0 (Suggested for you (vs Android)),Thot Chat 2.0,Suggested for you,encounter_weight,race,android,thot_chat_2,Thot chat 2.0,content/species/starter.json,exact_name,1.0,False
11,Affinity Encounter Chance,X% chance to encounter (AFFINITY) Waifumon,Angelic Deliquent (Tough Love (vs sub)),Angelic Deliquent,Tough Love,encounter_weight,affinity,submissive,angelic_delinquent,Angelic Delinquent,content/species/starter.json,fuzzy,0.971,False
11,Affinity Encounter Chance,X% chance to encounter (AFFINITY) Waifumon,Demon Hall Monitor (Detention List (vs Dom)),Demon Hall Monitor,Detention List,encounter_weight,affinity,dominant,demon_hall_monitor,Demon Hall Monitor,content/species/starter.json,exact_name,1.0,False
12,Rarity Encounter Chance,X% chance to encounter SSR+,The Waifu Below (Soul Claim),The Waifu Below,Soul Claim,encounter_weight,rarity_min,SSR,the_waifu_below,The Waifu Below,content/species/starter.json,exact_name,1.0,False
12,Rarity Encounter Chance,X% chance to encounter SSR+,Queen of the Wild Hunt (Horn Call),Queen of the Wild Hunt,Horn Call,encounter_weight,rarity_min,SSR,queen_wild_hunt,Queen of the Wild Hunt,content/species/starter.json,exact_name,1.0,False
13,Specific Rarity Encounter Chance,X% chance to encounter SR,Owl Detective (Investigator),Owl Detective,Investigator,encounter_weight,rarity,SR,owl_detective,Owl Detective,content/species/starter.json,exact_name,1.0,False
13,Specific Rarity Encounter Chance,X% chance to encounter SR,Bimbo Valkyrie (Pretty Spear),Bimbo Valkyrie,Pretty Spear,encounter_weight,rarity,SR,bimbo_valkyrie,Bimbo Valkyrie,content/species/starter.json,exact_name,1.0,False
14,Unowned Species Encounter Chance,X% chance encounters are species you don't own,Casino Kitsune (High Roller),Casino Kitsune,High Roller,encounter_weight,ownership,unowned,casino_kitsune,Casino Kitsune,content/species/starter.json,exact_name,1.0,False
14,Unowned Species Encounter Chance,X% chance encounters are species you don't own,Neon Kitsune (FoxFire),Neon Kitsune,FoxFire,encounter_weight,ownership,unowned,neon_kitsune,Neon Kitsune,content/species/starter.json,exact_name,1.0,False
14,Unowned Species Encounter Chance,X% chance encounters are species you don't own,Library Ghost (Unlisted Title),Library Ghost,Unlisted Title,encounter_weight,ownership,unowned,library_ghost,Library Ghost,content/species/starter.json,exact_name,1.0,False
15,Owned Species Encounter Chance,X% chance to encounter species you already own,Eclipse Idol (Encore),Eclipse Idol,Encore,encounter_weight,ownership,owned,eclipse_idol,Eclipse Idol,content/species/starter.json,exact_name,1.0,False
15,Owned Species Encounter Chance,X% chance to encounter species you already own,"Android Secretary (Filed Under ""You"")",Android Secretary,"Filed Under ""You""",encounter_weight,ownership,owned,android_secretary,Android Secretary,content/species/starter.json,exact_name,1.0,False
16,Free Hunt Chance,25% chance Hunting doesn't consume Energy,Royal Succubus (Royal Privliage),Royal Succubus,Royal Privliage,energy_save_chance,hunt,hunt,royal_succubus,Royal Succubus,content/species/starter.json,exact_name,1.0,False
16,Free Hunt Chance,25% chance Hunting doesn't consume Energy,"Nurse Imp (""What's in tha-...OW!"")",Nurse Imp,"""What's in tha-...OW!""",energy_save_chance,hunt,hunt,nurse_imp,Nurse Imp,content/species/starter.json,exact_name,1.0,False
16,Free Hunt Chance,25% chance Hunting doesn't consume Energy,Chrome Valkyrie (Overclock),Chrome Valkyrie,Overclock,energy_save_chance,hunt,hunt,chrome_valkyrie,Chrome Valkyrie,content/species/starter.json,exact_name,1.0,False
16,Free Hunt Chance,25% chance Hunting doesn't consume Energy,Arcade Bunny (Free Play),Arcade Bunny,Free Play,energy_save_chance,hunt,hunt,arcade_bunny,Arcade Bunny,content/species/starter.json,exact_name,1.0,False
16,Free Hunt Chance,25% chance Hunting doesn't consume Energy,Neko Barista (Warm Refill),Neko Barista,Warm Refill,energy_save_chance,hunt,hunt,neko_barista,Neko Barista,content/species/starter.json,exact_name,1.0,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,Dollhouse Demon (Wind up),Dollhouse Demon,Wind up,care_energy_gain,care,care,dollhouse_demon,Dollhouse Demon,content/species/starter.json,exact_name,1.0,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,Fallen Angel Nurse (Night shift),Fallen Angel Nurse,Night shift,care_energy_gain,care,care,fallen_angel_nurse,Fallen Angel Nurse,content/species/starter.json,exact_name,1.0,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,Cber Shrine Maiden (Sacred Maintenance),Cber Shrine Maiden,Sacred Maintenance,care_energy_gain,care,care,cyber_shrine_maiden,Cyber Shrine Maiden,content/species/starter.json,fuzzy,0.973,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,Afterglow Goddess (Aftercare),Afterglow Goddess,Aftercare,care_energy_gain,care,care,afterglow_goddess,Afterglow Goddess,content/species/starter.json,exact_name,1.0,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,Cade Maid (second cup),Cade Maid,second cup,care_energy_gain,care,care,cafe_maid,Café Maid,content/species/starter.json,fuzzy,0.889,False
17,Reduced Hunt Energy Cost,Double  Energy gain while in Care mode,After Hours Caretaker (The Naughty Shift),After Hours Caretaker,The Naughty Shift,care_energy_gain,care,care,ah_caretaker,After Hours Caretaker,content/species/starter.json,exact_name,1.0,False
18,Player XP Bonus,X% Player XP,Eclipse Valkryie (Warpath),Eclipse Valkryie,Warpath,player_xp_gain,any,,eclipse_valkyrie,Eclipse Valkyrie,content/species/starter.json,fuzzy,0.938,False
18,Player XP Bonus,X% Player XP,Crimson Bride Oni (Bride's Claim),Crimson Bride Oni,Bride's Claim,player_xp_gain,any,,crimson_oni_bride,Crimson Oni Bride,content/species/starter.json,user_confirmed,1.0,False
18,Player XP Bonus,X% Player XP,Phantom Violinist (Lingering Note),Phantom Violinist,Lingering Note,player_xp_gain,any,,phantom_violinist,Phantom Violinist,content/species/starter.json,exact_name,1.0,False
19,Buddy XP Bonus,X% XP gained by the active Buddy,Blood Moon Priestess (Blood Offering),Blood Moon Priestess,Blood Offering,buddy_xp_gain,any,,blood_moon_priestess,Blood Moon Priestess,content/species/starter.json,exact_name,1.0,False
19,Buddy XP Bonus,X% XP gained by the active Buddy,Valkryie Recruit (Prove Yourself),Valkryie Recruit,Prove Yourself,buddy_xp_gain,any,,valkyrie_recruit,Valkyrie Recruit,content/species/starter.json,fuzzy,0.938,False
19,Buddy XP Bonus,X% XP gained by the active Buddy,Gym Oni (Spotter),Gym Oni,Spotter,buddy_xp_gain,any,,gym_oni,Gym Oni,content/species/starter.json,exact_name,1.0,False
20,Essence Bonus,X% Essence gained,"Streetwear Oni (""Do a Kickflip!"")",Streetwear Oni,"""Do a Kickflip!""",essence_gain,any,,streetwear_oni,Streetwear Oni,content/species/starter.json,exact_name,1.0,False
20,Essence Bonus,X% Essence gained,Ramen Android (Extra Serving),Ramen Android,Extra Serving,essence_gain,any,,ramen_android,Ramen Android,content/species/starter.json,exact_name,1.0,False
20,Essence Bonus,X% Essence gained,Library Goth (Quiet Study),Library Goth,Quiet Study,essence_gain,any,,library_goth,Library Goth,content/species/starter.json,exact_name,1.0,False
20,Essence Bonus,X% Essence gained,Potion Shop Clerk (Under the Counter),Potion Shop Clerk,Under the Counter,essence_gain,any,,potion_shop_clerk,Potion Shop Clerk,content/species/starter.json,exact_name,1.0,False
20,Essence Bonus,X% Essence gained,Velvet Bartender (Last Call),Velvet Bartender,Last Call,essence_gain,any,,velvet_bartender,Velvet Bartender,content/species/starter.json,exact_name,1.0,False
21,Hunt Item Find Chance,X%  increased chance of finding items from Hunting,Neon Dragon Empress (Digital Hoard),Neon Dragon Empress,Digital Hoard,hunt_item_find_chance,hunt,hunt,neon_dragon_empress,Neon Dragon Empress,content/species/starter.json,exact_name,1.0,False
21,Hunt Item Find Chance,X%  increased chance of finding items from Hunting,Casino Dragon Queen (House Edge),Casino Dragon Queen,House Edge,hunt_item_find_chance,hunt,hunt,dragon_casino_queen,Dragon Casino Queen,content/species/starter.json,user_confirmed,1.0,False
21,Hunt Item Find Chance,X%  increased chance of finding items from Hunting,Lantern Spirit (Light the way),Lantern Spirit,Light the way,hunt_item_find_chance,hunt,hunt,lantern_spirit,Lantern Spirit,content/species/starter.json,exact_name,1.0,False
21,Hunt Item Find Chance,X%  increased chance of finding items from Hunting,Alley Catgirl (Trash Treasure),Alley Catgirl,Trash Treasure,hunt_item_find_chance,hunt,hunt,alley_catgirl,Alley Catgirl,content/species/starter.json,exact_name,1.0,False
21,Hunt Item Find Chance,X%  increased chance of finding items from Hunting,Cat Burglar (Quiet Hands),Cat Burglar,Quiet Hands,hunt_item_find_chance,hunt,hunt,cat_burglar,Cat Burglar,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Gothic Vampire Heiress (Eternal Mark),Gothic Vampire Heiress,Eternal Mark,affection_gain,any,,gothic_vampire_heiress,Gothic Vampire Heiress,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Sleepy Succubus Intern (Power Nap),Sleepy Succubus Intern,Power Nap,affection_gain,any,,sleepy_succubus_intern,Sleepy Succubus Intern,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Void Empress (Inevitability),Void Empress,Inevitability,affection_gain,any,,void_empress,Void Empress,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,The First Waifu (Unconditional Love),The First Waifu,Unconditional Love,affection_gain,any,,the_first_waifu,The First Waifu,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Holy Courtesan (Sacred Softness),Holy Courtesan,Sacred Softness,affection_gain,any,,holy_courtesan,Holy Courtesan,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Hologram Idol (Fan Light),Hologram Idol,Fan Light,affection_gain,any,,hologram_idol,Hologram Idol,content/species/starter.json,exact_name,1.0,False
22,Affection Gain,X% Affection gained,Shrine Assistant (Offering Bowl),Shrine Assistant,Offering Bowl,affection_gain,any,,shrine_assistant,Shrine Assistant,content/species/starter.json,exact_name,1.0,False
23,Boss Encounter Reward Bonus,X% increase to eligible rewards from Boss Encounters,"Winged Waitress (""On the House"")",Winged Waitress,"""On the House""",boss_reward_gain,boss_encounter,boss_encounter,winged_waitress,Winged Waitress,content/species/starter.json,exact_name,1.0,False
23,Boss Encounter Reward Bonus,X% increase to eligible rewards from Boss Encounters,"Void Catgirl (""Swipe!"")",Void Catgirl,"""Swipe!""",boss_reward_gain,boss_encounter,boss_encounter,void_catgirl,Void Catgirl,content/species/starter.json,exact_name,1.0,False
23,Boss Encounter Reward Bonus,X% increase to eligible rewards from Boss Encounters,Angelic Judge (Verdict),Angelic Judge,Verdict,boss_reward_gain,boss_encounter,boss_encounter,angelic_judge,Angelic Judge,content/species/starter.json,exact_name,1.0,False
23,Boss Encounter Reward Bonus,X% increase to eligible rewards from Boss Encounters,Leopard Bodyguard (Dscort Duty),Leopard Bodyguard,Dscort Duty,boss_reward_gain,boss_encounter,boss_encounter,leopard_bodyguard,Leopard Bodyguard,content/species/starter.json,exact_name,1.0,False
23,Boss Encounter Reward Bonus,X% increase to eligible rewards from Boss Encounters,The Crimson Judge (Blood Docket),The Crimson Judge,Blood Docket,boss_reward_gain,boss_encounter,boss_encounter,crimson_judge,The Crimson Judge,content/species/starter.json,exact_name,1.0,False
